,S.No,date,startup name,Industry Vertical,SubVertical,City  Location,InvestmentnType,Rupees in crore,Investor Name,investor_cleaned,year,month
0,0,2020-01-09,BYJU'S,E-Tech,E-learning,Bengaluru,Private Equity Round,1884.0,tiger global,ping an global voyager fund,2020,January
1,1,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Series C,75.81587148000001,susquehanna growth equity,susquehanna growth equity llc,2020,January
2,2,2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Series B,172.9404612,sequoia capital,quona capital,2020,January
3,3,2020-01-02,wealthbucket,FinTech,Online Investment,New Delhi,Pre-series A,28.26,vinod khatumal,vinod khatumal,2020,January
4,4,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Seed Round,16.956,sprout venture partners,sprout venture partners  others,2020,January
5,5,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Series A,84.78,chiratae ventures,chiratae ventures formerly idg ventures,2020,January
6,6,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Private Equity Round,1413.0,ant financial,ant financials,2020,January
7,7,2019-12-12,Ecozen,Technology,Agritech,Pune,Series A,56.52,sathguru catalyzer advisors,blinc advisors,2019,December
8,8,2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Series D,659.4,ping an global voyager fund,tiger global,2019,December
9,9,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Seed,471.0,mumbai angels,mumbai angel,2019,December
10,10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Seed,471.0,ravikanth reddy,amrendra reddy  manish satnaliwala,2019,December
11,11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Series F,188.4,saif partners,saif partners  lgt impact ventures,2019,December
12,12,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Series F,188.4,spring canter investment ltd,pine labs pte ltd,2019,December
13,13,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Series C,113.04,paytm,m,2019,December
14,14,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Series C,113.04,nptk,nptk,2019,December
15,15,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Series C,113.04,sabre partners  neoplux,sabre partners,2019,December
16,16,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Series E,282.6,vertex growth fund,ping an global voyager fund,2019,December
17,17,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Debt Funding,55.578,undisclosed,undisclosed,2019,December
18,18,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Seed Round,18.84,ruizheng investment,alphabets growth investment arm capital g  axis bank,2019,December
19,19,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Seed Round,471.0,manipal education  medical group memg,cdc group,2019,December
20,20,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Series G,2176.02,softbank,softbank,2019,December
21,21,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Series H,1413.0,sequoia capital,quona capital,2019,November
22,22,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Series H,1413.0,capitalg,capitalg,2019,November
23,23,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Series H,1413.0,accel,accel,2019,November
24,24,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Series B,4.57812,saucevc,saucevc,2019,November
25,25,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Series B,4.57812,rainforest ventures,rps ventures,2019,November
26,26,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Seed,14.13,prime venture partners,prime venture partners  others,2019,November
27,27,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Seed,14.13,letsventure,lets venture,2019,November
28,28,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Seed,14.13,ps1 venture  globallogic cofounder rajul garg,rajul garg,2019,November
29,29,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,Venture,0.0,rb investments,rb investments pte ltd,2019,November
30,30,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,Series B,113.04,dg daiwa ventures,ah ventures,2019,November
31,31,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,Series B,113.04,dg incubation,inc,2019,November
32,32,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Debt Funding,244.92,trifecta capital advisors,trifecta capital advisors llp,2019,November
33,33,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,Debt Funding,164.0141163,fintech,fintech,2019,November
34,34,2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Seed Funding,12.246,dream incubator,inc,2019,November
35,35,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Series C,1271.7,altimeter capital,lok capital,2019,November
36,36,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Series C,1271.7,sutter hill ventures,rps ventures,2019,November
37,37,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Seed,2.826,startup buddy,startup equity partners,2019,November
38,38,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Seed Funding,2072.4,amour infrastructure,amour infrastructure,2019,November
39,39,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Series B,148.836,ackermans,ackermans,2019,November
40,40,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Series B,148.836,van haaren,pablo van den bosch,2019,November
41,41,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Series B,148.836,healthquad,healthsquad,2019,November
42,42,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Series B,148.836,rebright partners,redbright partners,2019,November
43,43,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Series B,148.836,toppan printing,toppan printing,2019,November
44,44,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Series B,2665.86,matrix partner,bessemer venture partner,2019,November
45,45,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Series B,2665.86,stellaris venture partners,stellaris venture partners  kalaari capital,2019,November
46,46,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Series B,2665.86,kalaari capital,romulus capital  kalaari capital,2019,November
47,47,2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,,1884.0,indian angel network,india quotient  letsventures angel fund,2019,November
48,48,2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Funding Round,9420.0,vijay shekhar sharma,nishit sharma,2019,November
49,49,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Series D,423.9,lightbox,lightbox expansion fund,2019,October
50,50,2019-10-02,Udaan,B2B,Business development,Bengaluru,Series D,5510.7,altimeter capital,lok capital,2019,October
51,51,2019-10-02,Udaan,B2B,Business development,Bengaluru,Series D,5510.7,dst global,dst global  lightspeed venture partners global fund,2019,October
52,52,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,Maiden Round,42.39,matrix partner,bessemer venture partner,2019,September
53,53,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,Maiden Round,42.39,sequoia capital,quona capital,2019,September
54,54,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,Series A,31.086,saif partners,saif partners  lgt impact ventures,2019,September
55,55,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,Private Equity Round,56.52,tiw private equity,fs private equity,2019,September
56,56,2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,pre-series A,47.1,exfinity venture partners,exfinity venture,2019,September
57,57,2019-09-04,75F,IoT,Building automation system,Burnsville,Series A,169.56,breakthrough energy ventures,chiratae ventures,2019,September
58,58,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Seed,9.42,endiya partners,endiya partnersnn,2019,September
59,59,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,Series A,94.2,a91 partners,sprout venture partners,2019,September
60,60,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Series C,4239.0,bennett coleman  company ltd bccl,coleman  company ltd bccl,2019,September
61,61,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,Series A,47.1,india quotient,india quotient  letsventures angel fund,2019,September
62,62,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,Series A,47.1,axilor ventures,axilor,2019,September
63,63,2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,Series C,188.4,sc gg india mobility holdings llc,india quotient,2019,August
64,64,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Series A,47.1,sequoia capital,quona capital,2019,August
65,65,2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Seed Funding Round,15.072,undisclosed,undisclosed,2019,August
66,66,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,Single Venture,1318.8,azim premji,azim premji,2019,August
67,67,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,Single Venture,1318.8,binny bansal,bunny bansal,2019,August
68,68,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Corporate Round,358.7136,pine labs pte ltd,spring canter investment ltd,2019,August
69,69,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Series D,1177.5,naspers,nasper,2019,August
70,70,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,Series D,103.62,ms dhoni,m,2019,August
71,71,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,Series C,480.42,march capital partners,march capital,2019,August
72,72,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,Series B,348.54,xl innovate,xl innovate,2019,August
73,73,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Seed Round,4.71,rashmi daga founder,founder  chairman of career information portal careers360,2019,August
74,74,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Seed Round,4.71,freshmenu,freshmenu,2019,August
75,75,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Seed Round,4.71,raveen sastry cofounder,ps1 venture  globallogic cofounder rajul garg,2019,August
76,76,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Seed Round,4.71,myntra  mitesh shah finance chief,mitesh shah,2019,August
77,77,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Seed Round,4.71,bookmyshow,bookmyshow,2019,August
78,78,2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,Series D,1036.2,rps ventures,dst partners  rps ventures,2019,August
79,79,2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Venture Round,141.3,tiger global,ping an global voyager fund,2019,August
80,80,2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,Series C,62.0778,one97 communications ltd,one97 communication ltd,2019,August
81,81,2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Seed Round,9.42,growth dna,susquehanna growth equity,2019,August
82,82,2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Series A,0.0,vir sanghvi,ghv,2019,August
83,83,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Series F,659.4,softbank,softbank,2019,August
84,84,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Series B,36738.0,westbridge capital,westbridge capital partners,2019,August
85,85,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,Series B,178.98,lok capital,leo capital,2019,July
86,86,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,Series B,178.98,iifl wealth,iifl,2019,July
87,87,2019-07-02,Atlan,Information Technology,Big Data,Singapore,Pre-Series A,23.55,waterbridge ventures,waterbridge ventures  thinkuvate,2019,July
88,88,2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Angel,1.3659,kapil dev,il,2019,July
89,89,2019-07-03,Ola,Transport,Cabs,Kormangala,Series J,9.42,dig investment ab,spring canter investment ltd,2019,July
90,90,2019-07-03,Ola,Transport,Cabs,Kormangala,Series J,9.42,deshe holdings,sc gg india mobility holdings llc,2019,July
91,91,2019-07-03,Ola,Transport,Cabs,Kormangala,Series J,9.42,samih toukan  hussam khoury,samih toukan  hussam khoury,2019,July
92,92,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,Series C,358.7136,march capital partners,march capital,2019,July
93,93,2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Seed Round,4.71,artha venture,sprout venture partners,2019,July
94,94,2019-07-10,BYJU'S,EdTech,Education,Bengaluru,Private Equity Round,1413.0,qatar investment authority,dig investment ab,2019,July
95,95,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Series D,565.2,composite capital management,js capital management,2019,July
96,96,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Series D,565.2,sequoia capital,quona capital,2019,July
97,97,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Series D,565.2,tiger global,ping an global voyager fund,2019,July
98,98,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Series B,150.72,undisclosed,undisclosed,2019,July
99,99,2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Series B,54.165,ventureast,ventureeast,2019,July
100,100,2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Series A,23.55,blume ventures,blume ventures  rtp global,2019,July
101,101,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Series A,9.42,binny bansal,bunny bansal,2019,July
102,102,2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Angel Round,3.0106791,multiple angel investors,multiple investors,2019,July
103,103,2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,Series C,480.42,general atlantic,general catalyst partners,2019,June
104,104,2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Debt Funding,94.2,anicut capital,amicus capital,2019,June
105,105,2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Series A,84.78,matrix partner,bessemer venture partner,2019,June
106,106,2019-06-04,BharatPe,Finance,FinTech,New Delhi,Series B,706.5,insight partners,stellaris venture partners,2019,June
107,107,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,pre-Series A,244.92,triton investment advisors,dig investment ab,2019,June
108,108,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,pre-Series A,244.92,pidilite industries director ajay parekh,parekh marine transport,2019,June
109,109,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,pre-Series A,23.55,blume ventures  rtp global,blume ventures,2019,June
110,110,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,Series A,244.92,indian angel network,india quotient  letsventures angel fund,2019,June
111,111,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Seed Funding,4.052484,nexus venture partners,norwest venture partners,2019,June
112,112,2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Series A,146.01,tiger global,ping an global voyager fund,2019,June
113,113,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,Series B,489.84,westbridge capital,westbridge capital partners,2019,June
114,114,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Debt Funding,33.76128,alteria capital,trifecta capital advisors,2019,June
115,115,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Series A,32.028,mumbai angels,mumbai angel,2019,June
116,116,2019-05-06,Ola,Transport,Cabs,Bengaluru,Series A,0.0,tata sons,tata groups watch  jewellery retailing firm,2019,May
117,117,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,Venture - Series Unknown,8.182212,c4d partners,sprout venture partners,2019,May
118,118,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Bridge Round,0.0,indian angel network,india quotient  letsventures angel fund,2019,May
119,119,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Bridge Round,0.0,innov8 founder ritesh malik,ritesh malik,2019,May
120,120,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Bridge Round,0.0,josh talks founders supriya paul  shobha banga,founders fund,2019,May
121,121,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Bridge Round,0.0,former hero corporate president rohit chanana,rohit chanana,2019,May
122,122,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Series D,1413.0,accel,accel,2019,May
123,123,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Series D,1413.0,wellington,wellington management,2019,May
124,124,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Series D,1413.0,sequoia capital,quona capital,2019,May
125,125,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Series D,1413.0,b capital,br capital,2019,May
126,126,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Series D,1413.0,lightstreet,lightstreet,2019,May
127,127,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Series D,1413.0,ss capital  international finance corporation,international finance corporation,2019,May
128,128,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Series C,471.0,tiger global,ping an global voyager fund,2019,May
129,129,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Series C,480.42,sachin bansal,axilor ventures  binny bansal,2019,May
130,130,2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Seed Round,1318.8,equanimity ventures,equanimity venture fund,2019,May
131,131,2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,Series B,108.33,korea investment partners,korea investment partners kip,2019,May
132,132,2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,Series B,108.33,vertex ventures,vertex ventures southeast asia sea  india  sistema asia fund,2019,May
133,133,2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Series B,52.752,sixth sense ventures,sixth sense,2019,May
134,134,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Series A,423.9,eight roads,eight roads ventures india,2019,April
135,135,2019-04-12,Medlife,E-commerce,Online Medicine,Bengaluru,Private Equity,160.14,prasid uno family trust,lindwall family investments llc lfi,2019,April
136,136,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Private Equity,4.0568643,unilever,il,2019,April
137,137,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Private Equity,4.0568643,beehive capital advisor,sequoia capital,2019,April
138,138,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Private Equity,4.0568643,abcom investments,burda principal investments,2019,April
139,139,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Private Equity,4.0568643,parekh marine transport,pidilite industries director ajay parekh,2019,April
140,140,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Series B,33.8307525,orchid india,hornbill orchid india fund,2019,April
141,141,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Series B,33.8307525,hornbill orchid india fund,orchid india,2019,April
142,142,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Series B,33.8307525,chiratae ventures formerly idg ventures,chiratae ventures,2019,April
143,143,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Series B,33.8307525,3one4 capital,trifecta capital advisors,2019,April
144,144,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Series B,33.8307525,lasmer nv,nederlse financieringsmaatschappij voor ontwikkelingslen nv,2019,April
145,145,2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Seed Funding,1.884,unnamed angel investors,credika  unnamed angel investors,2019,April
146,146,2019-04-11,Setu,Fintech,Banking,Bengaluru,Seed Funding,32.97,lightspeed india partners,lightspeed venture partners india,2019,April
147,147,2019-04-10,Toppr,Edtech,E-learning,Mumbai,Debt and Preference capital,59.5421244,milestone,il,2019,April
148,148,2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Inhouse Funding,23.0177229,supera pte ltd,spring canter investment ltd,2019,April
149,149,2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Seed/ Angel Funding,2.89194,kalyan krishnamurthy,kalyan krishnamurthy,2019,April
150,150,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Series B,244.92,sequoia capital,quona capital,2019,April
151,151,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Series B,244.92,tiger global,ping an global voyager fund,2019,April
152,152,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Series B,244.92,accel,accel,2019,April
153,153,2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Series A,28.26,sixth sense ventures,sixth sense,2019,April
154,154,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,Venture Round,47.1,new atlantic ventures,gic ventures,2019,April
155,155,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,Series A,28.26,021 capita,021 capita,2019,April
156,156,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,Series A,28.26,binny bansal,bunny bansal,2019,April
157,157,2019-02-01,FleetX,AI,Logistics,Gurgaon,Pre Series A,0.0,india quotient  letsventures angel fund,letsventure,2019,February
158,158,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Series D,2128.92,sequoia capital,quona capital,2019,February
159,159,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Series D,2128.92,edbi,edbi,2019,February
160,160,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Series D,2128.92,burda principal investments,rb investments,2019,February
161,161,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Series D,2128.92,sofina,sofina sa,2019,February
162,162,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,Series A,5.652,letsventure,lets venture,2019,February
163,163,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,Series A,5.652,pitchright venture,ps1 venture  globallogic cofounder rajul garg,2019,February
164,164,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,Series A,5.652,91springboard,xc2xa0 91springboard,2019,February
165,165,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,Series A,5.652,al nour international holdings  mark v investments,rb investments,2019,February
166,166,2018-02-14,OYO Rooms,Hospitality,Budget Rooms,Gurgaon,Equity,942.0,didi chuxing,didi chuxing,2018,February
167,167,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,Series C,1036.2,sequoia capital,quona capital,2019,January
168,168,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,Series C,1036.2,hillhouse capital,lok capital,2019,January
169,169,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,Series C,1036.2,alphabets growth investment arm capital g  axis bank,axis bank,2019,January
170,170,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Series D,207.24,iron pillar,il,2019,January
171,171,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Series D,207.24,perceptive advisors,lockchain ecosystem global advisors,2019,January
172,172,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Series D,207.24,romulus capital  kalaari capital,kalaari capital,2019,January
173,173,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,Debt-Funding,47.1,massif,m,2019,January
174,174,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,Debt-Funding,47.1,a dutch government fund,dutch government fund,2019,January
175,175,2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Seed Funding,6.594,stellaris venture partners,stellaris venture partners  kalaari capital,2018,December
176,176,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Series D,471.0,steadview capital  vy capital,vy capital,2018,December
177,177,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Pre-Series A,7.536,individual investors,other individual investors,2018,December
178,178,2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Pre-Series A,5.38824,individual investors,other individual investors,2018,December
179,179,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Seed Funding,1.34706,omphalos ventures india llp,chiratae ventures,2018,December
180,180,2018-12-06,ShopKirana,B2B,eCommerce,Indore,Seed Funding,18.84,info edge,infoedge,2018,December
181,181,2018-12-06,ShopKirana,B2B,eCommerce,Indore,Seed Funding,18.84,aet fund,ping an global voyager fund,2018,December
182,182,2018-12-06,ShopKirana,B2B,eCommerce,Indore,Seed Funding,18.84,akatsuki  incubate fund from japan  better capital angellist syndicate,angellist,2018,December
183,183,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Series A,32.97,venture highway,y combinator  venture highway,2018,December
184,184,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Series A,32.97,gree ventures,gree ventures  summit media,2018,December
185,185,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Series A,32.97,space matrix,space matrix,2018,December
186,186,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Series A,32.97,individual investors,other individual investors,2018,December
187,187,2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Seed/ Angel Funding,1.3093329,lead angels network,lead angel network,2018,November
188,188,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,Series D,261.86658,norwest venture partners,rwe,2018,November
189,189,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,Series D,261.86658,cdc group,cdc group plc,2018,November
190,190,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,Series D,261.86658,the uks development finance institution  p surendra pai,myntra  mitesh shah finance chief,2018,November
191,191,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,Series C,471.0,shunwei capital,omidyar network  shunwei capital,2018,November
192,192,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,Series C,471.0,dst partners  rps ventures,rps ventures,2018,November
193,193,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Series A,4.71,undisclosed,undisclosed,2018,November
194,194,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,Equity,9.42,rb investments,rb investments pte ltd,2018,November
195,195,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,Equity,9.42,singapore,xiaomi singapore,2018,November
196,196,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Series A,9.42,tiger global,ping an global voyager fund,2018,November
197,197,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Series B,12.246,mayfield fund,mayfield,2018,November
198,198,2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Mezzanine,9.42,stevens creek ventures,rps ventures,2018,November
199,199,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Seed/ Angel Funding,4.71,venture catalysts,venture catalyst,2018,November
200,200,2018-11-19,Automation Anywhere,Automation,Robotics,California,Series B,2826.0,softbank,softbank,2018,November
